gene_id	gene_name
BSU18830	pps
BSU06530	purD
BSU22650	trpF
BSU06150	gutB
BSU06160	gutP
BSU19710	yodQ
BSU00930	cysE
BSU23770	dsdA
BSU15630	sirC
BSU06500	purM
BSU34860	hisI
BSU06450	purC
BSU06480,BSU06470,BSU06460	purL and purQ and purS
BSU34880	hisA
BSU15850,BSU15860	sdaAB and sdaAA
BSU15620	sirB
BSU15550	pyrF
BSU25660	aroD
BSU03150	aroK
BSU11870	metI
BSU32440,BSU32430	pucK or pucJ
BSU03200	putB
BSU00510	prs
BSU11870	metI
BSU38990,BSU38980	atoA and atoB
BSU11870	metI
BSU11870	metI
BSU06660,BSU30530,BSU03220,BSU19580	opuE or ytnA or putP or yodF
BSU22600	aroA
BSU02290	psd
BSU00730,BSU11870	cysK or metI
BSU40340	rocD
BSU25020	sodA
BSU10020	serC
BSU04740	rsbX
BSU13730	queD
BSU26600	bltD
BSU15560	pyrE
BSU26600	bltD
BSU26590	blt
BSU37500	speE
BSU37500	speE
BSU15020	coaD
BSU29180	pyk
BSU23490,BSU19630	pupG or deoD
BSU19630,BSU23490	deoD or pupG
BSU03070	mdr
BSU00110,BSU00120	pdxS and pdxT
BSU24050,BSU24040,BSU24030,BSU24060	bkdAA and bkdAB and bkdB and lpdV
BSU03910	gabD
BSU30790	menE
BSU30780	menC
BSU28450,BSU28440,BSU28430	sdhC and sdhA and sdhB
BSU24050,BSU24040,BSU24030,BSU24060	bkdAA and bkdAB and bkdB and lpdV
BSU28450,BSU28440,BSU28430	sdhC and sdhA and sdhB
BSU16090,BSU16100	sucC and sucD
BSU24050,BSU24040,BSU24030,BSU24060	bkdAA and bkdAB and bkdB and lpdV
BSU12910,BSU18480,BSU23800	proG or proH or proI
BSU33240,BSU18670	oxdC or yoaN
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU08840,BSU08830,BSU08850	ssuA and ssuB and ssuC
BSU27250	mccB
BSU39020,BSU39410,BSU32180	nupG or nupC or yutK
BSU37060	tdk
BSU39400	pdp
BSU00500	gcaD
BSU04000	ycsA
BSU22620,BSU34890	hisC or hisH
BSU35750,BSU35760,BSU35720,BSU35710,BSU35700,BSU35530	tagA and tagB and tagF and tagG and tagH and tagO
BSU04000	ycsA
BSU12380	uxaB
BSU33430,BSU33440	cysI or cysJ
BSU37110	ywjH
BSU16990	tdh
BSU35690,BSU35680	ggaA and ggaB
BSU35609,BSU35600,BSU35590,BSU35570,BSU35550,BSU35540	tuaA and tuaB and tuaC and tuaE and tuaG and tuaH
BSU21770	ilvA
BSU32250	thrC
BSU17890	tkt
BSU17890	tkt
BSU11650	tenA
BSU17680,BSU21820	thyA or thyB
BSU05900	thiL
