,ybeF,0.0
923,yycR,0.883
924,yydA,0.9325
925,yydC,1.08
926,fbp,1.09
927,yydG,1.74
928,yydI,1.05
929,ytsD,0.7947
930,yrvE,0.0
931,yloP,0.8271
932,ykuA,1.04
933,ydhL,0.7881
934,valS,0.8875
935,yyxA,0.9743
936,rocD,1.04
937,rocF,1.05
938,rapG,1.1
939,yycO,1.11
940,yycQ,1.18
941,smc,0.0
942,murD,1.46
943,lonA,0.9113
944,hrcA,1.1
945,cheA,0.9603
946,alaS,0.9779
947,yycS,1.02
948,yydB,0.9405
949,yydD,1.02
950,yydF,1.03
951,yydH,1.34
952,yydJ,1.08
953,yveM,1.18
954,yutK,0.0
955,yueB,0.52
956,yufK,0.9688
957,ytpQ,0.8234
958,ytmO,0.0
959,yndF,0.0
960,pksL,0.6185
961,mcpC,0.997
962,yisZ,0.835
963,ydbH,0.9097
964,ybxG,0.8444
965,ysdB,0.9079
966,yrhE,1.09
967,yqcC,0.0
968,ponA,0.8873
969,yomI,0.0
970,cgeC,1.16
971,wapA,1.56
972,ppsA,0.9844
973,pksM,0.6689
974,yetO,0.768
975,rpoC,0.9763
976,dra,0.8308
977,yvfQ,1.03
978,yukA,0.8523
979,yuxO,1.13
980,glgC,0.0
981,yttP,1.06
982,pykA,1.06
983,pksP,0.8798
984,pksK,1.0
985,oppD,1.35
986,srfAA,1.45
987,yccK,1.1
988,secE,1.03
989,rpmA,0.9908
990,yrpC,0.0
991,yqgS,1.2
992,ypbR,1.3
993,yorL,1.45
994,odhA,1.03
995,dhbF,1.7
996,pksR,0.9312
997,yfkN,1.03
998,gutR,0.0
999,yxeF,0.0
1000,galK,0.0
1001,rbcL,0.0
1002,aceF,0.0
1003,kdtA,0.0
1004,tufA_E,0.9093
1005,yazC,0.4706
1006,yrhC,0.0
1007,yerC,0.0
1008,yshA,0.8669
1009,yoqX,0.0
1010,yacF,0.9227
1011,yhcD,0.0
1012,yetG,1.29
1013,ywnG,0.9924
1014,ywqA,0.8679
1015,degU,0.9738
1016,yvnB,1.07
1017,cysS,0.5948
1018,yqjU,0.9523
1019,ylaI,0.0
1020,yuaE,1.17
1021,yqaD,0.0
1022,yozD,0.0
1023,yazB,0.9813
1024,yfnB,1.22
1025,ywmD,0.8367
1026,glcR,1.1
1027,ggaB,1.05
1028,prfB,1.07
1029,yvoD,1.07
1030,ybcD,3.12
1031,ndhF,2.4
1032,adaA,0.0
1033,ybbU,0.0
1034,ybbT,1.17
1035,ybbP,1.28
1036,folK,0.8029
1037,sul,0.8237
1038,pabA,0.7648
1039,cysK,1.01
1040,yacC,0.9564
1041,sigW,0.8331
1042,ybbJ,0.0
1043,ybbH,0.0
1044,ybbE,0.8607
1045,ybbC,0.0
1046,feuA,0.9754
1047,yabT,1.07
1048,yabR,1.19
1049,yabQ,0.8892
1050,yabO,0.8019
1051,spoVT,1.05
1052,ybcC,2.38
1053,adaB,0.0
1054,alkA,0.5664
1055,glmS,1.56
1056,ybbR,1.36
1057,ybbM,1.06
1058,folA,0.9713
1059,pabC,1.1
1060,pabB,0.9257
1061,yacD,1.06
1062,yacB,1.29
1063,ybbK,1.22
1064,ybbI,1.29
1065,ybbF,0.0
1066,ybbD,1.11
1067,ybbB,1.23
1068,feuB,1.18
1069,yabS,1.04
1070,divIC,0.8495
1071,yabP,0.9967
1072,yabM,1.09
1073,spoVC,0.9438
1074,ydaB,1.04
1075,ycsN,1.06
1076,yczI,1.01
1077,ycsO,0.7296
1078,ycsI,0.6722
1079,ycsE,0.9007
1080,ycgF,0.9532
1081,mdr,0.9572
1082,lctE,0.4018
1083,ycgB,0.0
1084,opuAC,1.01
1085,yceK,1.25
1086,yczH,1.02
1087,ycsA,0.8389
1088,mtlA,0.0
1089,ycnK,0.5491
1090,ycnI,0.6575
1091,ycxE,0.0
1092,yceI,1.1
1093,yceF,0.7819
1094,yceD,0.6629
1095,yceB,0.9796
1096,ycdI,0.8972
1097,ycdG,1.01
1098,ydaA,1.01
1099,yczJ,1.18
1100,ycsK,0.8839
1101,ycsJ,0.8113
1102,ycsF,0.6496
1103,ycsD,0.0
1104,ycgE,0.9679
1105,lctP,0.6543
1106,amyE,0.941
1107,ycgA,1.62
1108,opuAB,1.64
1109,yceJ,1.13
1110,sipU,1.45
1111,mtlD,0.9829
1112,ycnL,1.08
1113,ycnJ,0.7362
1114,gdh,0.8177
1115,ycnH,1.11
1116,yceG,0.8441
1117,yceE,0.7038
1118,yceC,0.6321
1119,yceA,0.8533
1120,ycdH,1.12
1121,ycdF,1.41
1122,ydjJ,0.0
1123,ydjH,0.6924
1124,ydjF,0.5947
1125,gutB,0.0
1126,ydjB,0.0
1127,ydiR,0.7667
1128,ydeI,0.0
1129,ydeG,0.0
1130,ydeE,0.0
1131,ydeC,0.0
1132,ydeB,0.9444
1133,ydeA,0.0
1134,ydiP,1.21
1135,ydiN,0.0
1136,groEL,2.01
1137,ydiL,0.7913
1138,ydiJ,1.1
1139,ydiH,0.9625
1140,yddS,0.7879
1141,yddQ,0.0
1142,lrpA,0.0
1143,phrI,0.8943
1144,yddJ,0.0
1145,yddH,0.0
1146,ydjI,0.677
1147,ydjG,0.627
1148,ydjE,0.8245
1149,ydjC,1.15
1150,ydiS,0.9476
1151,ydiQ,0.0
1152,ydeH,1.52
1153,ydeF,0.0
1154,ydeD,0.0
1155,ydzE,0.0
1156,cspC,1.01
1157,yddT,1.12
1158,ydiO,1.45
1159,ydiM,1.58
1160,groES,1.82
1161,ydiK,0.9615
1162,ydiI,1.04
1163,ydiG,1.08
1164,yddR,0.0
1165,lrpB,0.0
1166,yddM,1.07
1167,rapI,0.0
1168,yddI,0.0
1169,yddG,0.0
1170,yfiR,0.8374
1171,lipB,1.09
1172,yfiN,0.0
1173,yfiL,0.0
1174,yfiJ,0.0
1175,yfiH,0.0
1176,yfnE,0.0
1177,yfnG,0.0
1178,yfnI,1.01
