reaction,gpr
NAabcO,BSU02750 and BSU02760
MECDPDH2,BSU25070
MEPCT,BSU00900
METAT,BSU30550
NDPK7,BSU22730
PENCAC,BSU39540
NDPK3,BSU22730
NDPK4,BSU22730
PAPSR,BSU15570
NDPK5,BSU22730
ORNt2,BSU33330
NDPK6,BSU22730
NDPK1,BSU22730
NDPK2,BSU22730
PGMT_B,BSU34550
PGI,BSU31350
P5CD,BSU37780
NDPK9,BSU22730
PYNP1,BSU39400
PHETA1,BSU22620 or BSU34890
NDPK8,BSU22730
PYNP2r,BSU39400
NH4t,BSU36510
PTAr,BSU37660
PMPK,BSU38020 or BSU11710
NMNAT,BSU25640
PTA2,BSU37660
PHYT3,BSU19800
NNATr,BSU25640
PIabc,BSU24970 and BSU24960 and BSU24950 and BSU24980 and BSU24990
SO4t2,BSU01580 or BSU15580 or BSU34660
NNAM,BSU31760
SARCOX,BSU11670
PIt2r,BSU12840
PIt7,BSU25420
SUCR,BSU34560
NNDPR,BSU27860
PMANM,BSU09310
SALCpts,BSU39270 and BSU13900 and BSU13910
NO2t2r,BSU38060
NPHS,BSU30800
RBK,BSU35920
NO2t3,BSU37320 or BSU38060
PNTEH,BSU03010
NO3t2,BSU03330
PNTK,BSU23760
RBK_Dr,BSU28790
RIBabc,BSU35940 and BSU35960 and BSU35950 and BSU35930
NTR3B,(BSU03320 and BSU03310) or (BSU37280 and BSU37270 and BSU37260)
SUCCt2r,BSU07570 or BSU04470
Q23DO,BSU39980
PNP,BSU23490 or BSU19630
QULNS,BSU27850
RBFK,BSU29300 or BSU16670
APNPT,BSU23760
PNTOt2,BSU38240
PPA,BSU40550
PPBNGS,BSU28130
PPNCL,BSU15700
RBK_L1,BSU28790
RBFSa,BSU23270 and BSU23250
PPCDC,BSU15700
PPCK,BSU30560
OCBT_1,BSU11250
PPM,BSU23500
PPCOAC,BSU23920 or BSU18210
RBFSb,BSU23270 and BSU23250
RBP4E,BSU28780
RMI,BSU31180
RMK,BSU31200
PPM2,BSU23500
PPND,BSU22610
RNDR4,BSU17380 and BSU17390 and BSU17370
NTRIR2x,BSU03300 and BSU03290
RPE,BSU15790
RPI,BSU36920
SADT,BSU15590
PPNDH,BSU27900
PPPGO,BSU10140
PPS,BSU18830
PRAGSr,BSU06530
PRAIi,BSU22650
SBTD_D2,BSU06150
SBTt2,BSU06160
SDPDS,BSU19710
SERAT,BSU00930
SERD_D,BSU23770
SHCHD2_1,BSU15630
PRAIS_1,BSU06500
PRATPP,BSU34860
PRASCSi,BSU06450
PRFGS_1,BSU06480 and BSU06470 and BSU06460
PRMICI,BSU34880
SERD_L,BSU15850 and BSU15860
SHCHF_2,BSU15620
OMPDC,BSU15550
SHK3Dr,BSU25660
SHKK,BSU03150
SHSL1,BSU11870
URATEt_1,BSU32440 or BSU32430
PRO1x,BSU03200
PRPPS,BSU00510
SHSL2,BSU11870
OCOAT1,BSU38990 and BSU38980
SHSL3,BSU11870
SHSL4r,BSU11870
PROt2r,BSU06660 or BSU30530 or BSU03220 or BSU19580
PSCVT,BSU22600
PSDC_BS,BSU02290
SLCYSS,BSU00730 or BSU11870
ORNTA_1,BSU40340
SPODM,BSU25020
PSERT,BSU10020
PSP_D,BSU04740
PTHPS,BSU13730
SPMDAT1,BSU26600
ORPT,BSU15560
SPMDAT3,BSU26600
SPMDt3i,BSU26590
SPRMS,BSU37500
SPMS,BSU37500
PTPATi,BSU15020
PYK,BSU29180
PUNP5,BSU23490 or BSU19630
PUNP6,BSU19630 or BSU23490
PURabc1,BSU03070
PYRIS,BSU00110 and BSU00120
OIVD1r,BSU24050 and BSU24040 and BSU24030 and BSU24060
SSALy,BSU03910
SUCBZL,BSU30790
SUCBZS,BSU30780
SUCD1,BSU28450 and BSU28440 and BSU28430
OIVD2,BSU24050 and BSU24040 and BSU24030 and BSU24060
SUCD5_BS,BSU28450 and BSU28440 and BSU28430
SUCOAS,BSU16090 and BSU16100
OIVD3,BSU24050 and BSU24040 and BSU24030 and BSU24060
P5CR,BSU12910 or BSU18480 or BSU23800
OXADC,BSU33240 or BSU18670
SULAabc,BSU08840 and BSU08830 and BSU08850
TAURabc,BSU08840 and BSU08830 and BSU08850
TRPAS1,BSU27250
THMDt2,BSU39020 or BSU39410 or BSU32180
TMDK1,BSU37060
TMDPP,BSU39400
UAGDP,BSU00500
TARTDC,BSU04000
TYRTA,BSU22620 or BSU34890
TECA1S45,BSU35750 and BSU35760 and BSU35720 and BSU35710 and BSU35700 and BSU35530
TARTRDH,BSU04000
TAGURr,BSU12380
SULR_1,BSU33430 or BSU33440
TALA,BSU37110
THRD,BSU16990
TECA4S_BS,BSU35690 and BSU35680
TEICH45,BSU35609 and BSU35600 and BSU35590 and BSU35570 and BSU35550 and BSU35540
THRD_L,BSU21770
THRS,BSU32250
TKT1,BSU17890
TKT2,BSU17890
TMN,BSU11650
TMDS,BSU17680 or BSU21820
TMPK,BSU05900
TMPPP,BSU38290
TPI,BSU33920
TRDR,BSU34790 or BSU32110 or BSU03270
TRE6PH,BSU07810
TRPt2r,BSU10010
TRPS1,BSU22640 and BSU22630
UAAGDS,BSU15180
UAG2E,BSU35660
UAG2EMA,BSU35660
UDPG4E,BSU38860
UAGPT3,BSU15220
UAG4E,BSU30870 or BSU38860
UAGCVT,BSU36760 or BSU37100
UAMAGS,BSU15200
UAMAS,BSU29790
UAPGR,BSU15230
UDCPDP,BSU31150
UDPGD,BSU35580
UGMDDS,BSU04570
UGT1_BS,BSU21920
UGT2_BS,BSU21920
UGT_BS,BSU21920
UNK5,BSU13580
UPP3S,BSU28140
UPP3MT_2,BSU03280 or BSU15610
ALDD9,BSU39860 or BSU38830 or BSU19310
FRUpts,(BSU27070 and BSU27060 and BSU27050 and BSU27040 and BSU13900 and BSU13910) or (BSU14400 and BSU13900 and BSU13910)
